"Name","top_k_experts","top_k_tokens","top_p_experts","top_p_tokens","execution_accuracy","exact_match","fallbacks","switches_wo_fallback","switches","execution_accuracy_easy","execution_accuracy_medium","fallbacks (Min)","switches (Min)","switches_wo_fallback (Min)","Commit","Created","Description","Runtime","GitHub","Group","End Time","Hostname","Job Type","ID","Notes","GPU Type","GPU Count","State","Sweep","Updated","User","Tags","method","metric.goal","metric.name","name","program","exact_match_easy","exact_match_extra","exact_match_hard","exact_match_medium","execution_accuracy_extra","execution_accuracy_hard","parameters.top_k_expertss","parameters.top_p_expertss","parameters.top_k_tokenss","parameters.top_p_tokenss","command"
"autumn-sweep-212","1","10","0","0.2","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T07:32:29.000Z","","822","","","2024-06-03T07:46:11.000Z","04ddb2d107b3","","hvem7c6y","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T07:46:11.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"robust-sweep-72","0","10","0.2","0.2","0.1","0.02","3594","0","94","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T16:53:45.000Z","","832","","","2024-06-02T17:07:37.000Z","04ddb2d107b3","","hzg11qx3","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T17:07:37.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"rose-sweep-368","2","10","0.1","0.4","0.1","0.02","3836","0","1","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T21:40:38.000Z","","813","","","2024-06-03T21:54:11.000Z","04ddb2d107b3","","01dqpzvb","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T21:54:11.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"frosty-sweep-253","1","20","0.2","0.4","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T10:50:00.000Z","","810","","","2024-06-03T11:03:30.000Z","04ddb2d107b3","","dhw98f81","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T11:03:30.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"solar-sweep-354","2","5","0.6","0.6","0.1","0.02","2081","0","827","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T20:24:24.000Z","","799","","","2024-06-03T20:37:43.000Z","04ddb2d107b3","","dhbheu41","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T20:37:43.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"fancy-sweep-616","8","0","0.4","0","0.1","0.02","2107","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-05T01:08:13.000Z","","792","","","2024-06-05T01:21:25.000Z","04ddb2d107b3","","i5bz3pqc","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-05T01:21:25.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"quiet-sweep-817","16","10","0.1","0.2","0.09","0.02","3836","0","1","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-06T00:11:54.000Z","","1338","","","2024-06-06T00:34:12.000Z","gx01","","i68ovsu5","-","NVIDIA A100-SXM4-40GB","6","finished","kalacugk","2024-06-06T00:34:12.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"prime-sweep-446","2","40","0.8","0","0.1","0.02","525","0","75","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T05:23:09.000Z","","824","","","2024-06-04T05:36:53.000Z","04ddb2d107b3","","dh1a24ll","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T05:36:53.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"noble-sweep-434","2","40","0.2","0.6","0.1","0.02","3588","0","86","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T03:56:03.000Z","","822","","","2024-06-04T04:09:45.000Z","04ddb2d107b3","","dgrnt3sp","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T04:09:45.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"blooming-sweep-377","2","10","0.4","0.2","0.1","0.02","2726","0","619","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T22:33:50.000Z","","840","","","2024-06-03T22:47:50.000Z","04ddb2d107b3","","dg461gpv","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T22:47:50.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"honest-sweep-155","1","0","0","0.8","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T02:06:24.000Z","","809","","","2024-06-03T02:19:53.000Z","04ddb2d107b3","","dfgm6f3q","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T02:19:53.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"lively-sweep-191","1","5","0.2","0","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T05:43:32.000Z","","825","","","2024-06-03T05:57:17.000Z","04ddb2d107b3","","dda46wbm","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T05:57:17.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"wise-sweep-307","2","0","0.1","0.2","0.1","0.02","3836","0","1","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T15:52:32.000Z","","852","","","2024-06-03T16:06:44.000Z","04ddb2d107b3","","ic5l75qu","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T16:06:44.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"earnest-sweep-66","0","10","0.1","0","0.1","0.02","3835","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T16:25:00.000Z","","808","","","2024-06-02T16:38:28.000Z","04ddb2d107b3","","ifpn7ezk","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T16:38:28.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"breezy-sweep-405","2","20","0.2","0.8","0.1","0.02","3574","0","72","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T01:02:08.000Z","","819","","","2024-06-04T01:15:47.000Z","04ddb2d107b3","","iih8cobe","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T01:15:47.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"amber-sweep-851","16","20","0.2","0","0.09","0.02","3510","0","8","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-06T03:27:40.000Z","","1329","","","2024-06-06T03:49:49.000Z","gx01","","iioyqhy8","-","NVIDIA A100-SXM4-40GB","6","finished","kalacugk","2024-06-06T03:49:49.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"spring-sweep-669","8","10","0.1","0.6","0.1","0.02","3836","0","1","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-05T07:39:33.000Z","","826","","","2024-06-05T07:53:19.000Z","04ddb2d107b3","","ik5y6uby","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-05T07:53:19.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"desert-sweep-188","1","5","0.1","0.4","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T05:20:41.000Z","","812","","","2024-06-03T05:34:13.000Z","04ddb2d107b3","","ikrhjlw8","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T05:34:13.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"still-sweep-96","0","20","0.1","0","0.1","0.02","3835","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T19:16:53.000Z","","869","","","2024-06-02T19:31:22.000Z","04ddb2d107b3","","d9qt60fs","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T19:31:22.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"winter-sweep-345","2","5","0.2","0.8","0.09","0.02","3575","0","73","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T19:32:33.000Z","","1410","","","2024-06-03T19:56:03.000Z","gx02","","inh7j6qb","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-03T19:56:03.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"rosy-sweep-15","0","0","0.1","0.8","0.09","0.02","3835","0","0","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T10:55:47.000Z","","1366","","","2024-06-02T11:18:33.000Z","gx02","","d7tre36z","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-02T11:18:33.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"apricot-sweep-381","2","10","0.6","0","0.1","0.02","1400","0","146","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T22:52:56.000Z","","795","","","2024-06-03T23:06:11.000Z","04ddb2d107b3","","ipdiq49x","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T23:06:11.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
